Voucher Number,Vendor ID,Vendor Name,G/L Date,Expense Category,Amount
00004035,0000137633,A & M BADGING SUPPLIES INC,07/09/2014 12:00:00 AM,Office Supplies,$56.95
00004041,0000024840,CP SYSTEMS LLC,07/09/2014 12:00:00 AM,Consultant Services,$11962.49
00004037,DASS1,DEPT OF ADMINISTRATIVE SERVICES,07/09/2014 12:00:00 AM,Rental motor pool,$1782.00
00004043,0000154609,LAVI INDUSTRIES,07/09/2014 12:00:00 AM,Office Equip,$3191.64
00004038,0000054470,MAKIARIS MEDIA SERVICES,07/09/2014 12:00:00 AM,Consultant Services,$2400.00
00004036,0000089611,METROCAST COMMUNICATIONS OF,07/09/2014 12:00:00 AM,Telephone,$199.95
00004042,0000010268,MURPHY SECURITY SERVICE LLC,07/09/2014 12:00:00 AM,"Fees, Non-Professional",$22063.53
00004046,0000013614,PULLMAN & COMLEY LLC,07/09/2014 12:00:00 AM,Consultant Services,$10288.82
00004044,0000034087,SHERATON BRADLEY INTERNATIONAL,07/09/2014 12:00:00 AM,Food,$150.00
00004045,0000034087,SHERATON BRADLEY INTERNATIONAL,07/09/2014 12:00:00 AM,Food,$242.00
00004072,0000010011,A & A OFFICE SYSTEMS INC,07/10/2014 12:00:00 AM,Rental equipment,$188.80
00004076,0000010011,A & A OFFICE SYSTEMS INC,07/10/2014 12:00:00 AM,Rental equipment,$1580.40
00004082,0000134428,ALGONQUIN PRODUCTS COMPANY,07/10/2014 12:00:00 AM,Contract Work grounds,$79.21
00004068,0000010438,ANDREW GRAPHICS INC,07/10/2014 12:00:00 AM,Printing Services,$950.00
00004047,0000103314,BANK OF AMERICA NA,07/10/2014 12:00:00 AM,P-card purchase,$5377.07
00004060,0000010109,COMMUNITY RENEWAL TEAM INC,07/10/2014 12:00:00 AM,"Fees, Non-Professional",$2084.23
00004073,0000010516,CONNECTICUT VALLEY RUBBER INC,07/10/2014 12:00:00 AM,MV Supplies,$1295.70
00004074,0000010516,CONNECTICUT VALLEY RUBBER INC,07/10/2014 12:00:00 AM,Replace Parts equip,$1809.80
00004067,0000010075,DELL MARKETING LP,07/10/2014 12:00:00 AM,EDP Software License,$2614.60
00004062,0000010916,DIRECTV,07/10/2014 12:00:00 AM,Dues & Subs,$8.43
00004070,0000018624,EMERSON NETWORK POWER LIEBERT SERVICES,07/10/2014 12:00:00 AM,Contract Work buildings,$1295.00
00004066,0000064505,INDEPENDENT HARDWARE INC,07/10/2014 12:00:00 AM,Replace Parts building,$305.37
00004065,0000010553,J & S RADIO SALES,07/10/2014 12:00:00 AM,Electrical Suppl,$1533.04
00004071,0000010553,J & S RADIO SALES,07/10/2014 12:00:00 AM,Electrical Suppl,$2340.80
00004063,0000011633,J H LAPIERRE JR & SON LLC,07/10/2014 12:00:00 AM,Contract Work buildings,$1511.63
00004061,0000054470,MAKIARIS MEDIA SERVICES,07/10/2014 12:00:00 AM,Consultant Services,$203.93
00004077,0000013536,MICROSOFT CORP,07/10/2014 12:00:00 AM,EDP Software License,$2068.00
00004069,0000097529,RAZZ-M-TAZZ PROMOTIONS LLC,07/10/2014 12:00:00 AM,Clothing,$1635.00
00004075,0000052619,SPRINT PCS,07/10/2014 12:00:00 AM,Telephone,$1531.98
00004064,0000049636,THYSSEN KRUPP AIRPORT SYSTEMS INC,07/10/2014 12:00:00 AM,Replace Parts building,$3766.00
00004048,0000152366,WILLIS OF MASSACHUSETTS INC,07/10/2014 12:00:00 AM,Insurance: premiums,$69828.00
00004049,0000152366,WILLIS OF MASSACHUSETTS INC,07/10/2014 12:00:00 AM,Insurance: premiums,$97179.48
00004050,0000152366,WILLIS OF MASSACHUSETTS INC,07/10/2014 12:00:00 AM,Insurance: premiums,$19176.12
00004051,0000152366,WILLIS OF MASSACHUSETTS INC,07/10/2014 12:00:00 AM,Insurance: premiums,$7800.00
00004052,0000152366,WILLIS OF MASSACHUSETTS INC,07/10/2014 12:00:00 AM,Insurance: premiums,$2125.00
00004053,0000152366,WILLIS OF MASSACHUSETTS INC,07/10/2014 12:00:00 AM,Insurance: premiums,$7805.00
00004054,0000152366,WILLIS OF MASSACHUSETTS INC,07/10/2014 12:00:00 AM,Insurance: premiums,$8999.25
00004055,0000152366,WILLIS OF MASSACHUSETTS INC,07/10/2014 12:00:00 AM,Insurance: premiums,$37403.75
00004056,0000152366,WILLIS OF MASSACHUSETTS INC,07/10/2014 12:00:00 AM,Insurance: premiums,$55900.00
00004057,0000152366,WILLIS OF MASSACHUSETTS INC,07/10/2014 12:00:00 AM,Insurance: premiums,$47320.00
00004058,0000152366,WILLIS OF MASSACHUSETTS INC,07/10/2014 12:00:00 AM,Insurance: premiums,$30420.00
00004059,0000152366,WILLIS OF MASSACHUSETTS INC,07/10/2014 12:00:00 AM,Insurance: premiums,$62975.00
00004083,0000052587,PRINCIPAL FINANCIAL GROUP INC,07/14/2014 12:00:00 AM,Fees profess,$612.50
00004094,0000010179,COMCAST,07/15/2014 12:00:00 AM,Telephone,$217.81
00004093,0000012713,MODULAR SPACE CORPORATION,07/15/2014 12:00:00 AM,Rental equipment,$184.04
00004084,0000020486,NEW ENGLAND WATER UTILITY SERVICES INC,07/15/2014 12:00:00 AM,"Fees, Non-Professional",$125.00
00004095,0000148008,TYCO INTEGRATED SECURITY LLC,07/15/2014 12:00:00 AM,Rep & Serv tools and equip,$572.75
00004096,0000148008,TYCO INTEGRATED SECURITY LLC,07/15/2014 12:00:00 AM,Rep & Serv tools and equip,$604.25
00004085,0000010101,USA HAULING & RECYCLING INC,07/15/2014 12:00:00 AM,Trash Removal,$240.00
00004086,0000010101,USA HAULING & RECYCLING INC,07/15/2014 12:00:00 AM,Trash Removal,$240.00
00004087,0000010101,USA HAULING & RECYCLING INC,07/15/2014 12:00:00 AM,Trash Removal,$240.00
00004088,0000010101,USA HAULING & RECYCLING INC,07/15/2014 12:00:00 AM,Trash Removal,$480.00
00004089,0000010101,USA HAULING & RECYCLING INC,07/15/2014 12:00:00 AM,Trash Removal,$240.00
00004090,0000010101,USA HAULING & RECYCLING INC,07/15/2014 12:00:00 AM,Trash Removal,$4596.00
00004091,0000010101,USA HAULING & RECYCLING INC,07/15/2014 12:00:00 AM,Trash Removal,$6681.00
00004092,0000010101,USA HAULING & RECYCLING INC,07/15/2014 12:00:00 AM,Trash Removal,$4596.00
00004101,0000010262,ACCURATE TERMITE & PEST CONTROL CO INC,07/16/2014 12:00:00 AM,Contract Work buildings,$288.00
00004119,0000010232,CDW GOVERNMENT INC,07/16/2014 12:00:00 AM,EDP Software License,$727.70
00004125,0000010043,CONNECTICUT NATURAL GAS CORP,07/16/2014 12:00:00 AM,Natural gas,$360.35
00004126,0000010043,CONNECTICUT NATURAL GAS CORP,07/16/2014 12:00:00 AM,Natural gas,$302.89
00004127,0000010043,CONNECTICUT NATURAL GAS CORP,07/16/2014 12:00:00 AM,Natural gas,$73.73
00004102,0000010003,EVERSOURCE CL&P,07/16/2014 12:00:00 AM,Utility: electricity,$12.26
00004103,0000010003,EVERSOURCE CL&P,07/16/2014 12:00:00 AM,Utility: electricity,$531.92
00004104,0000010003,EVERSOURCE CL&P,07/16/2014 12:00:00 AM,Utility: electricity,$50.62
00004105,0000010003,EVERSOURCE CL&P,07/16/2014 12:00:00 AM,Utility: electricity,$93.92
00004107,0000010003,EVERSOURCE CL&P,07/16/2014 12:00:00 AM,Utility: electricity,$526.32
00004108,0000010003,EVERSOURCE CL&P,07/16/2014 12:00:00 AM,Utility: electricity,$39.38
00004110,0000010003,EVERSOURCE CL&P,07/16/2014 12:00:00 AM,Utility: electricity,$903.25
00004124,0000010003,EVERSOURCE CL&P,07/16/2014 12:00:00 AM,Utility: electricity,$15.24
00004131,0000010003,EVERSOURCE CL&P,07/16/2014 12:00:00 AM,Utility: electricity,$38.86
00004132,0000010003,EVERSOURCE CL&P,07/16/2014 12:00:00 AM,Utility: electricity,$76.84
00004133,0000010003,EVERSOURCE CL&P,07/16/2014 12:00:00 AM,Utility: electricity,$218.87
